代码,名称,行业,放量日期,放量倍数,当日涨幅%,放量收盘价,成交额(亿),已确认,确认天数,距今天数,突破后涨幅%,市盈率,市净率
603838,*ST四通,C30非金属矿物制品业,2025-08-07,3.38,4.96,6.14,0.24,True,2,14,9.77,-64.25,2.06
603863,松炀资源,C22造纸和纸制品业,2025-07-30,3.33,4.03,16.01,3.71,True,2,20,14.8,-14.18,7.28
603881,数据港,I65软件和信息技术服务业,2025-08-13,3.37,4.25,27.5,18.94,True,2,10,21.71,140.62,6.04
603887,城地香江,I65软件和信息技术服务业,2025-08-08,3.44,5.03,18.16,11.03,True,2,13,4.35,-39.39,3.1
603901,永创智能,C34通用设备制造业,2025-08-18,3.07,6.2,11.48,3.94,True,2,7,-4.88,314.65,2.36
603919,金徽酒,C15酒、饮料和精制茶制造业,2025-08-20,3.05,4.18,20.43,2.97,True,3,5,0.34,25.85,2.91
603937,丽岛新材,C33金属制品业,2025-08-11,3.58,4.22,11.11,1.7,True,2,12,-3.42,-48.71,1.5
603950,长源东谷,C36汽车制造业,2025-08-11,4.74,6.15,25.2,5.38,True,5,12,29.13,31.27,2.99
605066,天正电气,C38电气机械和器材制造业,2025-08-08,4.51,2.89,7.83,3.53,True,2,13,1.4,31.33,2.15
605117,德业股份,C38电气机械和器材制造业,2025-08-13,3.44,6.8,55.61,24.0,True,2,10,8.88,15.56,4.9
605166,聚合顺,C26化学原料和化学制品制造业,2025-08-06,4.07,3.98,11.77,2.92,True,2,15,3.23,11.92,1.92
605298,必得科技,C37铁路、船舶、航空航天和其他运输设备制造业,2025-08-05,4.5,2.44,17.21,2.73,True,2,16,60.84,67.04,3.15
605299,舒华体育,C24文教、工美、体育和娱乐用品制造业,2025-08-14,3.26,5.44,9.89,2.45,True,2,9,-3.74,47.73,3.14
605300,佳禾食品,C14食品制造业,2025-08-19,4.23,3.41,14.25,1.43,True,5,6,-1.96,153.71,2.26
605365,立达信,C38电气机械和器材制造业,2025-08-14,4.17,2.7,15.24,1.72,True,2,9,1.38,18.31,1.99
605388,均瑶健康,C15酒、饮料和精制茶制造业,2025-08-20,4.11,5.32,8.12,3.63,True,3,5,-1.85,-109.92,2.75
688027,国盾量子,C39计算机、通信和其他电子设备制造业,2025-08-13,4.26,5.4,292.6,13.13,True,3,10,10.21,-1483.44,9.36
688056,莱伯泰科,C40仪器仪表制造业,2025-08-06,3.41,6.33,39.33,0.92,True,2,15,-4.02,65.76,3.2
688108,赛诺医疗,C35专用设备制造业,2025-08-12,4.35,2.36,25.11,30.55,True,2,11,20.39,1701.47,12.0
688184,ST帕瓦,C39计算机、通信和其他电子设备制造业,2025-08-13,3.02,3.65,10.51,0.26,True,2,10,2.57,-2.46,0.85
688199,久日新材,C26化学原料和化学制品制造业,2025-08-12,3.15,6.77,27.29,6.39,True,3,11,4.51,-73.46,1.73
688203,海正生材,C28化学纤维制造业,2025-08-01,3.08,6.11,12.86,1.5,True,2,18,9.95,90.41,1.75
688255,凯尔达,C34通用设备制造业,2025-08-05,4.42,5.93,35.75,2.97,True,2,16,1.79,389.03,3.76
688298,东方生物,C27医药制造业,2025-08-18,3.19,4.88,29.67,2.83,True,3,7,-4.85,-10.36,0.92
688337,普源精电,C40仪器仪表制造业,2025-08-13,3.39,6.99,39.04,2.9,True,2,10,-4.07,84.41,2.39
688479,友车科技,I65软件和信息技术服务业,2025-08-05,4.4,2.44,20.57,1.08,True,2,16,-1.6,54.68,1.55
688501,青达环保,C35专用设备制造业,2025-08-01,3.32,5.37,27.29,1.35,True,2,18,17.26,21.61,3.27
688721,龙图光罩,C39计算机、通信和其他电子设备制造业,2025-08-07,3.66,6.6,48.29,3.48,True,5,14,9.51,76.38,5.27
688733,壹石通,C39计算机、通信和其他电子设备制造业,2025-08-14,3.44,5.02,27.82,9.28,True,2,9,-7.37,423.54,2.54
688772,珠海冠宇,C38电气机械和器材制造业,2025-08-05,3.3,6.06,14.52,6.62,True,2,16,46.42,41.44,2.35
